Year,"Fuel Type","Number of Vehicles","Weight Class","Vehicle Type","Engine Configuration"
2017,"Compressed Natural Gas (CNG)",88,"Heavy Duty","Buses (School Buses)",Dedicated
2017,"Compressed Natural Gas (CNG)",102,"Heavy Duty","Buses (Transit Buses)",Dedicated
2017,"Compressed Natural Gas (CNG)",787,"Heavy Duty","Other Trucks",Dedicated
2017,"Compressed Natural Gas (CNG)",132,"Light Duty","Pickup Trucks (Pickups < 8,500 lbs)",Nondedicated
2017,"Compressed Natural Gas (CNG)",10,"Light Duty","Other Trucks (SUVs < 8,500 lbs)",Nondedicated
2017,"Compressed Natural Gas (CNG)",34,"Light Duty","Pickup Trucks (Pickups < 8,500 lbs)",Dedicated
2017,"Compressed Natural Gas (CNG)",8,"Medium Duty","Vans (Passenger/Cargo Vans 8501-10,000 lbs)",Dedicated
2017,"Compressed Natural Gas (CNG)",9,"Medium Duty","Pickup Trucks",Dedicated
2017,"Compressed Natural Gas (CNG)",30,"Medium Duty","Other Trucks",Dedicated
2017,"Compressed Natural Gas (CNG)",278,"Heavy Duty","Buses (School Buses)",Dedicated
2017,"Compressed Natural Gas (CNG)",793,"Heavy Duty","Buses (Transit Buses)",Dedicated
2017,"Compressed Natural Gas (CNG)",2196,"Heavy Duty","Other Trucks",Dedicated
2017,"Compressed Natural Gas (CNG)",31,"Medium Duty","Pickup Trucks",Nondedicated
2017,"Compressed Natural Gas (CNG)",55,"Medium Duty","Pickup Trucks",Nondedicated
2016,"Compressed Natural Gas (CNG)",403,"Heavy Duty","Buses (School Buses)",Dedicated
2016,"Compressed Natural Gas (CNG)",27,"Medium Duty","Vans (Passenger/Cargo Vans 8501-10,000 lbs)",Dedicated
2016,"Compressed Natural Gas (CNG)",1799,"Heavy Duty","Other Trucks",Dedicated
2016,"Compressed Natural Gas (CNG)",113,"Medium Duty","Pickup Trucks",Nondedicated
2016,"Compressed Natural Gas (CNG)",8,"Medium Duty","Vans (Passenger/Cargo Vans 8501-10,000 lbs)",Dedicated
2016,"Compressed Natural Gas (CNG)",294,"Heavy Duty","Buses (School Buses)",Dedicated
2016,"Compressed Natural Gas (CNG)",76,"Heavy Duty","Buses (Transit Buses)",Dedicated
2016,"Compressed Natural Gas (CNG)",1318,"Heavy Duty","Other Trucks",Dedicated
2016,"Compressed Natural Gas (CNG)",52,"Light Duty","Pickup Trucks (Pickups < 8,500 lbs)",Nondedicated
2016,"Compressed Natural Gas (CNG)",11,"Light Duty","Other Trucks (SUVs < 8,500 lbs)",Nondedicated
2016,"Compressed Natural Gas (CNG)",30,"Light Duty","Pickup Trucks (Pickups < 8,500 lbs)",Dedicated
2016,"Compressed Natural Gas (CNG)",51,"Medium Duty","Pickup Trucks",Nondedicated
2016,"Compressed Natural Gas (CNG)",101,"Medium Duty","Pickup Trucks",Dedicated
2016,"Compressed Natural Gas (CNG)",31,"Medium Duty","Other Trucks",Dedicated
2016,"Compressed Natural Gas (CNG)",1416,"Heavy Duty","Buses (Transit Buses)",Dedicated
2015,"Compressed Natural Gas (CNG)",118,"Heavy Duty","Buses (Transit Buses)",Dedicated
2015,"Compressed Natural Gas (CNG)",2106,"Heavy Duty","Other Trucks",Dedicated
2015,"Compressed Natural Gas (CNG)",10,"Light Duty","Other Trucks (SUVs < 8,500 lbs)",Nondedicated
2015,"Compressed Natural Gas (CNG)",234,"Medium Duty","Pickup Trucks",Nondedicated
2015,"Compressed Natural Gas (CNG)",104,"Medium Duty","Pickup Trucks",Dedicated
2015,"Compressed Natural Gas (CNG)",58,"Medium Duty","Other Trucks",Dedicated
2015,"Compressed Natural Gas (CNG)",273,"Medium Duty","Vans (Passenger/Cargo Vans 8501-10,000 lbs)",Dedicated
2015,"Compressed Natural Gas (CNG)",222,"Heavy Duty","Buses (School Buses)",Dedicated
2015,"Compressed Natural Gas (CNG)",1469,"Heavy Duty","Buses (Transit Buses)",Dedicated
2015,"Compressed Natural Gas (CNG)",3208,"Heavy Duty","Other Trucks",Dedicated
2015,"Compressed Natural Gas (CNG)",326,"Light Duty","Automobiles (Compact)",Nondedicated
2015,"Compressed Natural Gas (CNG)",533,"Medium Duty","Pickup Trucks",Nondedicated
2015,"Compressed Natural Gas (CNG)",51,"Medium Duty","Other Trucks",Dedicated
2015,"Compressed Natural Gas (CNG)",32,"Medium Duty","Vans (Passenger/Cargo Vans 8501-10,000 lbs)",Dedicated
2014,"Compressed Natural Gas (CNG)",22,"Medium Duty","Other Trucks",Dedicated
2014,"Compressed Natural Gas (CNG)",67,"Medium Duty","Vans (Passenger/Cargo Vans 8501-10000 lbs)",Dedicated
2014,"Compressed Natural Gas (CNG)",218,"Heavy Duty","Buses (School Buses)",Dedicated
2014,"Compressed Natural Gas (CNG)",1335,"Heavy Duty","Buses (Transit Buses)",Dedicated
2014,"Compressed Natural Gas (CNG)",2543,"Heavy Duty","Other Trucks",Dedicated
2014,"Compressed Natural Gas (CNG)",125,"Medium Duty","Pickup Trucks",Nondedicated
2014,"Compressed Natural Gas (CNG)",778,"Medium Duty","Pickup Trucks",Dedicated
2014,"Compressed Natural Gas (CNG)",123,"Heavy Duty","Buses (Transit Buses)",Dedicated
2014,"Compressed Natural Gas (CNG)",690,"Heavy Duty","Other Trucks",Dedicated
2014,"Compressed Natural Gas (CNG)",88,"Light Duty","Pickup Trucks (Pickups < 8500 lbs)",Nondedicated
2014,"Compressed Natural Gas (CNG)",141,"Light Duty","Pickup Trucks (Pickups < 8500 lbs)",Dedicated
2014,"Compressed Natural Gas (CNG)",523,"Medium Duty","Pickup Trucks",Nondedicated
2014,"Compressed Natural Gas (CNG)",9,"Medium Duty","Other Trucks",Dedicated
2013,"Compressed Natural Gas (CNG)",23,"Heavy Duty","Buses (School Buses)",Nondedicated
2013,"Compressed Natural Gas (CNG)",532,"Medium Duty","Pickup Trucks",Nondedicated
2013,"Compressed Natural Gas (CNG)",275,"Heavy Duty","Buses (Transit Buses)",Dedicated
2013,"Compressed Natural Gas (CNG)",690,"Heavy Duty","Other Trucks",Dedicated
2013,"Compressed Natural Gas (CNG)",2,"Light Duty","Vans (Small Passenger Vans)",Dedicated
2013,"Compressed Natural Gas (CNG)",9,"Light Duty","Pickup Trucks (Pickups < 8500 lbs)",Dedicated
2013,"Compressed Natural Gas (CNG)",1108,"Medium Duty","Pickup Trucks",Nondedicated
2013,"Compressed Natural Gas (CNG)",1,"Medium Duty","Other Trucks",Nondedicated
2013,"Compressed Natural Gas (CNG)",556,"Medium Duty","Pickup Trucks",Dedicated
2013,"Compressed Natural Gas (CNG)",75,"Medium Duty","Other Trucks",Dedicated
2013,"Compressed Natural Gas (CNG)",1,"Medium Duty","Vans (Passenger/Cargo Vans 8501-10000 lbs)",Dedicated
2013,"Compressed Natural Gas (CNG)",375,"Heavy Duty","Buses (School Buses)",Dedicated
2013,"Compressed Natural Gas (CNG)",12,"Heavy Duty","Buses (Transit Buses)",Dedicated
2013,"Compressed Natural Gas (CNG)",1258,"Heavy Duty","Buses (Transit Buses)",Dedicated
2013,"Compressed Natural Gas (CNG)",2278,"Heavy Duty","Other Trucks",Dedicated
2013,"Compressed Natural Gas (CNG)",2198,"Light Duty","Automobiles (Compact)",Dedicated
2013,"Compressed Natural Gas (CNG)",1,"Light Duty","Other Vehicles",Dedicated
2013,"Compressed Natural Gas (CNG)",60,"Heavy Duty","Buses (Intercity Buses)",Dedicated
2012,"Compressed Natural Gas (CNG)",23,"Heavy Duty","Buses (School Buses)",Nondedicated
2012,"Compressed Natural Gas (CNG)",388,"Medium Duty","Other Trucks",Nondedicated
2012,"Compressed Natural Gas (CNG)",98,"Heavy Duty","Buses (School Buses)",Dedicated
2012,"Compressed Natural Gas (CNG)",505,"Heavy Duty","Buses (Transit Buses)",Dedicated
2012,"Compressed Natural Gas (CNG)",690,"Heavy Duty","Other Trucks",Dedicated
2012,"Compressed Natural Gas (CNG)",14,"Light Duty","Pickup Trucks (Pickups < 8500 lbs)",Nondedicated
2012,"Compressed Natural Gas (CNG)",6,"Light Duty","Vans (Small Passenger Vans)",Dedicated
2012,"Compressed Natural Gas (CNG)",7,"Medium Duty","Pickup Trucks",Nondedicated
2012,"Compressed Natural Gas (CNG)",1,"Medium Duty","Other Trucks",Nondedicated
2012,"Compressed Natural Gas (CNG)",311,"Medium Duty","Pickup Trucks",Dedicated
2012,"Compressed Natural Gas (CNG)",354,"Medium Duty","Vans (Passenger/Cargo Vans 8501-10000 lbs)",Dedicated
2012,"Compressed Natural Gas (CNG)",153,"Heavy Duty","Buses (School Buses)",Dedicated
2012,"Compressed Natural Gas (CNG)",12,"Heavy Duty","Buses (Transit Buses)",Dedicated
2012,"Compressed Natural Gas (CNG)",644,"Heavy Duty","Buses (Transit Buses)",Dedicated
2012,"Compressed Natural Gas (CNG)",1584,"Heavy Duty","Other Trucks",Dedicated
2012,"Compressed Natural Gas (CNG)",2821,"Light Duty","Automobiles (Compact)",Dedicated
2012,"Compressed Natural Gas (CNG)",1,"Light Duty","Other Vehicles",Dedicated
2012,"Compressed Natural Gas (CNG)",60,"Heavy Duty","Buses (Intercity Buses)",Dedicated
2011,"Compressed Natural Gas (CNG)",513,"Heavy Duty","Buses (Transit Buses)",Dedicated
2011,"Compressed Natural Gas (CNG)",31,"Heavy Duty","Buses (Transit Buses)",Dedicated
2011,"Compressed Natural Gas (CNG)",1100,"Light Duty","Automobiles (Compact)",Dedicated
2011,"Compressed Natural Gas (CNG)",4,"Light Duty","Other Vehicles",Dedicated
2011,"Compressed Natural Gas (CNG)",101,"Medium Duty","Other Trucks",Dedicated
2011,"Compressed Natural Gas (CNG)",54,"Heavy Duty","Buses (Intercity Buses)",Dedicated
2011,"Compressed Natural Gas (CNG)",448,"Heavy Duty","Buses (Transit Buses)",Dedicated
2011,"Compressed Natural Gas (CNG)",1,"Light Duty","Automobiles (Compact)",Nondedicated
2011,"Compressed Natural Gas (CNG)",25,"Light Duty","Pickup Trucks (Pickups < 8500 lbs)",Nondedicated
2011,"Compressed Natural Gas (CNG)",5,"Light Duty","Other Trucks (SUVs < 8500 lbs)",Nondedicated
2011,"Compressed Natural Gas (CNG)",10,"Light Duty","Automobiles (Fullsize)",Dedicated
2011,"Compressed Natural Gas (CNG)",163,"Light Duty","Vans (Passenger/Cargo Vans < 8500 lbs)",Dedicated
2011,"Compressed Natural Gas (CNG)",19,"Medium Duty","Pickup Trucks",Nondedicated
2011,"Compressed Natural Gas (CNG)",16,"Medium Duty","Other Trucks",Nondedicated
2011,"Compressed Natural Gas (CNG)",1,"Medium Duty","Vans (Passenger/Cargo Vans 8501-10000 lbs)",Nondedicated
2011,"Compressed Natural Gas (CNG)",115,"Medium Duty","Pickup Trucks",Dedicated
2011,"Compressed Natural Gas (CNG)",1059,"Medium Duty","Vans (Passenger/Cargo Vans 8501-10000 lbs)",Dedicated
2011,"Compressed Natural Gas (CNG)",452,"Heavy Duty","Buses (School Buses)",Dedicated
2011,"Compressed Natural Gas (CNG)",1557,"Heavy Duty","Other Trucks",Dedicated
2010,"Compressed Natural Gas (CNG)",661,"Heavy Duty","Buses (Transit Buses)",Dedicated
2010,"Compressed Natural Gas (CNG)",33,"Medium Duty","Other Trucks",Dedicated
2010,"Compressed Natural Gas (CNG)",1,"Light Duty","Automobiles (Fullsize)",Nondedicated
2010,"Compressed Natural Gas (CNG)",11,"Light Duty","Pickup Trucks (Pickups < 8500 lbs)",Nondedicated
2010,"Compressed Natural Gas (CNG)",5,"Light Duty","Other Trucks (SUVs < 8500 lbs)",Nondedicated
2010,"Compressed Natural Gas (CNG)",1,"Light Duty","Vans (Passenger/Cargo Vans < 8500 lbs)",Nondedicated
2010,"Compressed Natural Gas (CNG)",27,"Light Duty","Automobiles (Fullsize)",Dedicated
2010,"Compressed Natural Gas (CNG)",7,"Light Duty","Automobiles (Midsize)",Dedicated
2010,"Compressed Natural Gas (CNG)",29,"Light Duty","Pickup Trucks (Pickups < 8500 lbs)",Dedicated
2010,"Compressed Natural Gas (CNG)",21,"Medium Duty","Pickup Trucks",Nondedicated
2010,"Compressed Natural Gas (CNG)",13,"Medium Duty","Other Trucks",Nondedicated
2010,"Compressed Natural Gas (CNG)",1,"Medium Duty","Vans (Passenger/Cargo Vans 8501-10000 lbs)",Nondedicated
2010,"Compressed Natural Gas (CNG)",104,"Medium Duty","Pickup Trucks",Dedicated
2010,"Compressed Natural Gas (CNG)",689,"Medium Duty","Vans (Passenger/Cargo Vans 8501-10000 lbs)",Dedicated
2010,"Compressed Natural Gas (CNG)",526,"Heavy Duty","Buses (School Buses)",Dedicated
2010,"Compressed Natural Gas (CNG)",25,"Heavy Duty","Buses (Transit Buses)",Dedicated
2010,"Compressed Natural Gas (CNG)",589,"Heavy Duty","Buses (Transit Buses)",Dedicated
2010,"Compressed Natural Gas (CNG)",1306,"Heavy Duty","Other Trucks",Dedicated
2010,"Compressed Natural Gas (CNG)",921,"Light Duty","Automobiles (Compact)",Dedicated
2010,"Compressed Natural Gas (CNG)",1,"Light Duty","Other Vehicles",Dedicated
2010,"Compressed Natural Gas (CNG)",2,"Light Duty","Automobiles (Compact)",Nondedicated
2009,"Compressed Natural Gas (CNG)",661,"Heavy Duty","Buses (Transit Buses)",Dedicated
2009,"Compressed Natural Gas (CNG)",1,"Medium Duty","Other Trucks",Dedicated
2009,"Compressed Natural Gas (CNG)",1,"Light Duty","Other Trucks (SUVs < 8500 lbs)",Nondedicated
2009,"Compressed Natural Gas (CNG)",6,"Light Duty","Vans (Passenger/Cargo Vans < 8500 lbs)",Nondedicated
2009,"Compressed Natural Gas (CNG)",27,"Light Duty","Automobiles (Fullsize)",Dedicated
2009,"Compressed Natural Gas (CNG)",29,"Light Duty","Pickup Trucks (Pickups < 8500 lbs)",Dedicated
2009,"Compressed Natural Gas (CNG)",32,"Medium Duty","Pickup Trucks",Nondedicated
2009,"Compressed Natural Gas (CNG)",8,"Medium Duty","Other Trucks",Nondedicated
2009,"Compressed Natural Gas (CNG)",110,"Medium Duty","Pickup Trucks",Dedicated
