Year,"Fuel Type","Number of Vehicles","Weight Class","Vehicle Type","Engine Configuration"
2017,"Diesel-Electric Hybrid (DSL)",386,"Heavy Duty","Buses (Transit Buses)",Hybrid
2016,"Diesel-Electric Hybrid (DSL)",464,"Medium Duty","Other Trucks",Hybrid
2016,"Diesel-Electric Hybrid (DSL)",586,"Heavy Duty","Buses (Transit Buses)",Hybrid
2016,"Diesel-Electric Hybrid (DSL)",3,"Heavy Duty","Other Trucks",Hybrid
2015,"Diesel-Electric Hybrid (DSL)",437,"Heavy Duty","Buses (Transit Buses)",Hybrid
2015,"Diesel-Electric Hybrid (DSL)",48,"Heavy Duty","Other Trucks",Hybrid
2015,"Diesel-Electric Hybrid (DSL)",419,"Medium Duty","Other Trucks",Hybrid
2014,"Diesel-Electric Hybrid (DSL)",549,"Heavy Duty","Buses (Transit Buses)",Hybrid
2014,"Diesel-Electric Hybrid (DSL)",45,"Heavy Duty","Other Trucks",Hybrid
2013,"Diesel-Electric Hybrid (DSL)",14,"Heavy Duty","Other Trucks",Hybrid
2013,"Diesel-Electric Hybrid (DSL)",716,"Heavy Duty","Buses (Transit Buses)",Hybrid
2012,"Diesel-Electric Hybrid (DSL)",40,"Heavy Duty","Other Trucks",Hybrid
2012,"Diesel-Electric Hybrid (DSL)",48,"Heavy Duty","Buses (School Buses)",Hybrid
2012,"Diesel-Electric Hybrid (DSL)",73,"Medium Duty","Other Trucks",Hybrid
2012,"Diesel-Electric Hybrid (DSL)",1194,"Heavy Duty","Buses (Transit Buses)",Hybrid
2011,"Diesel-Electric Hybrid (DSL)",1222,"Heavy Duty","Buses (Transit Buses)",Hybrid
2011,"Diesel-Electric Hybrid (DSL)",108,"Medium Duty","Other Trucks",Hybrid
2010,"Diesel-Electric Hybrid (DSL)",1342,"Heavy Duty","Buses (Transit Buses)",Hybrid
2010,"Diesel-Electric Hybrid (DSL)",246,"Medium Duty","Other Trucks",Hybrid
2009,"Diesel-Electric Hybrid (DSL)",6,"Medium Duty","Other Trucks",Hybrid
2009,"Diesel-Electric Hybrid (DSL)",7,"Heavy Duty","Buses (Transit Buses)",Hybrid
2009,"Diesel-Electric Hybrid (DSL)",1988,"Heavy Duty","Buses (Transit Buses)",Hybrid
2009,"Diesel-Electric Hybrid (DSL)",222,"Heavy Duty","Other Trucks",Hybrid
2008,"Diesel-Electric Hybrid (DSL)",2,"Medium Duty","Other Trucks",Hybrid
2008,"Diesel-Electric Hybrid (DSL)",887,"Heavy Duty","Buses (Transit Buses)",Hybrid
2008,"Diesel-Electric Hybrid (DSL)",114,"Heavy Duty","Other Trucks",Hybrid
2007,"Diesel-Electric Hybrid (DSL)",13,"Medium Duty","Other Trucks",Hybrid
2007,"Diesel-Electric Hybrid (DSL)",686,"Heavy Duty","Buses (Transit Buses)",Hybrid
2006,"Diesel-Electric Hybrid (DSL)",434,"Heavy Duty","Buses (Transit Buses)",Hybrid
2006,"Diesel-Electric Hybrid (DSL)",3,"Heavy Duty","Buses (Transit Buses)",Hybrid
2005,"Diesel-Electric Hybrid (DSL)",304,"Heavy Duty","Buses (Transit Buses)",Hybrid
2005,"Diesel-Electric Hybrid (DSL)",7,"Heavy Duty","Buses (Transit Buses)",Hybrid
2004,"Diesel-Electric Hybrid (DSL)",5,"Heavy Duty","Buses (Transit Buses)",Hybrid
2004,"Diesel-Electric Hybrid (DSL)",1,"Medium Duty","Other Trucks",Hybrid
2004,"Diesel-Electric Hybrid (DSL)",413,"Heavy Duty","Buses (Transit Buses)",Hybrid
