Year,"Fuel Type","Number of Vehicles","Weight Class","Vehicle Type","Engine Configuration"
2015,"Electricity (EVC)",50389,"Light Duty","Automobiles (Fullsize)",Dedicated
2015,"Electricity (EVC)",1,"Heavy Duty","Buses (Intercity Buses)",Dedicated
2015,"Electricity (EVC)",15,"Heavy Duty","Buses (Transit Buses)",Dedicated
2015,"Electricity (EVC)",141,"Heavy Duty","Buses (Transit Buses)",Dedicated
2015,"Electricity (EVC)",23590,"Light Duty","Automobiles (Midsize)",Nondedicated
2015,"Electricity (EVC)",2,"Medium Duty","Other Trucks",Dedicated
2015,"Electricity (EVC)",17744,"Light Duty","Automobiles (Midsize)",Dedicated
2015,"Electricity (EVC)",1645,"Light Duty","Automobiles (Subcompact)",Dedicated
2015,"Electricity (EVC)",13607,"Light Duty","Automobiles (Compact)",Nondedicated
2015,"Electricity (EVC)",11189,"Light Duty","Automobiles (Compact)",Dedicated
2014,"Electricity (EVC)",2,"Medium Duty","Other Trucks",Dedicated
2014,"Electricity (EVC)",30249,"Light Duty","Automobiles (Midsize)",Nondedicated
2014,"Electricity (EVC)",19115,"Light Duty","Automobiles (Compact)",Nondedicated
2014,"Electricity (EVC)",25,"Light Duty","Other Trucks (SUVs < 8500 lbs)",Dedicated
2014,"Electricity (EVC)",1951,"Light Duty","Automobiles (Subcompact)",Dedicated
2014,"Electricity (EVC)",10058,"Light Duty","Automobiles (Compact)",Dedicated
2014,"Electricity (EVC)",8,"Heavy Duty","Buses (Transit Buses)",Dedicated
2014,"Electricity (EVC)",20,"Heavy Duty","Buses (Transit Buses)",Dedicated
2014,"Electricity (EVC)",1,"Heavy Duty","Buses (Intercity Buses)",Dedicated
2014,"Electricity (EVC)",31159,"Light Duty","Automobiles (Midsize)",Dedicated
2013,"Electricity (EVC)",2228,"Light Duty","Automobiles (Subcompact)",Dedicated
2013,"Electricity (EVC)",25897,"Light Duty","Automobiles (Midsize)",Dedicated
2013,"Electricity (EVC)",5073,"Light Duty","Automobiles (Compact)",Dedicated
2013,"Electricity (EVC)",2,"Medium Duty","Other Trucks",Dedicated
2013,"Electricity (EVC)",74553,"Light Duty","Automobiles (Midsize)",Nondedicated
2013,"Electricity (EVC)",21458,"Light Duty","Automobiles (Compact)",Nondedicated
2013,"Electricity (EVC)",6,"Heavy Duty","Buses (Transit Buses)",Dedicated
2013,"Electricity (EVC)",1100,"Light Duty","Other Trucks (SUVs < 8500 lbs)",Dedicated
2012,"Electricity (EVC)",935,"Light Duty","Automobiles (Compact)",Dedicated
2012,"Electricity (EVC)",21156,"Light Duty","Automobiles (Compact)",Nondedicated
2012,"Electricity (EVC)",12600,"Light Duty","Automobiles (Midsize)",Nondedicated
2012,"Electricity (EVC)",10098,"Light Duty","Automobiles (Midsize)",Dedicated
