Year,Fuel Type,Number of Vehicles,Weight Class,Vehicle Type,Engine Configuration
2017,Gasoline-Electric Hybrid (GAS),116672,Light Duty,"Other Trucks (SUVs < 8,500 lbs)",Hybrid
2017,Gasoline-Electric Hybrid (GAS),58075,Light Duty,Automobiles (Compact),Hybrid
2017,Gasoline-Electric Hybrid (GAS),6006,Light Duty,Automobiles (Fullsize),Hybrid
2017,Gasoline-Electric Hybrid (GAS),152090,Light Duty,Automobiles (Midsize),Hybrid
2017,Gasoline-Electric Hybrid (GAS),705,Light Duty,Automobiles (Subcompact),Hybrid
2017,Gasoline-Electric Hybrid (GAS),6627,Light Duty,"Pickup Trucks (Pickups < 8,500 lbs)",Hybrid
2016,Gasoline-Electric Hybrid (GAS),81,Medium Duty,Other Trucks,Hybrid
2016,Gasoline-Electric Hybrid (GAS),166149,Light Duty,Automobiles (Compact),Hybrid
2016,Gasoline-Electric Hybrid (GAS),6432,Light Duty,Automobiles (Fullsize),Hybrid
2016,Gasoline-Electric Hybrid (GAS),157246,Light Duty,Automobiles (Midsize),Hybrid
2016,Gasoline-Electric Hybrid (GAS),892,Light Duty,Automobiles (Subcompact),Hybrid
2016,Gasoline-Electric Hybrid (GAS),753,Light Duty,"Pickup Trucks (Pickups < 8,500 lbs)",Hybrid
2016,Gasoline-Electric Hybrid (GAS),67814,Light Duty,"Other Trucks (SUVs < 8,500 lbs)",Hybrid
2015,Gasoline-Electric Hybrid (GAS),11590,Light Duty,Automobiles (Fullsize),Hybrid
2015,Gasoline-Electric Hybrid (GAS),2,Medium Duty,Other Trucks,Hybrid
2015,Gasoline-Electric Hybrid (GAS),22204,Light Duty,"Other Trucks (SUVs < 8,500 lbs)",Hybrid
2015,Gasoline-Electric Hybrid (GAS),30,Light Duty,"Pickup Trucks (Pickups < 8,500 lbs)",Hybrid
2015,Gasoline-Electric Hybrid (GAS),3483,Light Duty,Automobiles (Subcompact),Hybrid
2015,Gasoline-Electric Hybrid (GAS),152124,Light Duty,Automobiles (Midsize),Hybrid
2015,Gasoline-Electric Hybrid (GAS),109082,Light Duty,Automobiles (Compact),Hybrid
2014,Gasoline-Electric Hybrid (GAS),17313,Light Duty,Automobiles (Fullsize),Hybrid
2014,Gasoline-Electric Hybrid (GAS),151949,Light Duty,Automobiles (Compact),Hybrid
2014,Gasoline-Electric Hybrid (GAS),17351,Light Duty,Other Trucks (SUVs < 8500 lbs),Hybrid
2014,Gasoline-Electric Hybrid (GAS),2892,Light Duty,Automobiles (Subcompact),Hybrid
2014,Gasoline-Electric Hybrid (GAS),210092,Light Duty,Automobiles (Midsize),Hybrid
2013,Gasoline-Electric Hybrid (GAS),17254,Light Duty,Automobiles (Fullsize),Hybrid
2013,Gasoline-Electric Hybrid (GAS),199321,Light Duty,Automobiles (Midsize),Hybrid
2013,Gasoline-Electric Hybrid (GAS),45875,Light Duty,Automobiles (Subcompact),Hybrid
2013,Gasoline-Electric Hybrid (GAS),19718,Light Duty,Other Trucks (SUVs < 8500 lbs),Hybrid
2013,Gasoline-Electric Hybrid (GAS),176826,Light Duty,Automobiles (Compact),Hybrid
2012,Gasoline-Electric Hybrid (GAS),40273,Light Duty,Automobiles (Subcompact),Hybrid
2012,Gasoline-Electric Hybrid (GAS),63,Heavy Duty,Buses (Transit Buses),Hybrid
2012,Gasoline-Electric Hybrid (GAS),1038,Light Duty,Pickup Trucks (Pickups < 8500 lbs),Hybrid
2012,Gasoline-Electric Hybrid (GAS),175982,Light Duty,Automobiles (Compact),Hybrid
2012,Gasoline-Electric Hybrid (GAS),845,Light Duty,Automobiles (Fullsize),Hybrid
2012,Gasoline-Electric Hybrid (GAS),194134,Light Duty,Automobiles (Midsize),Hybrid
2012,Gasoline-Electric Hybrid (GAS),21644,Light Duty,Other Trucks (SUVs < 8500 lbs),Hybrid
2011,Gasoline-Electric Hybrid (GAS),63,Heavy Duty,Buses (Transit Buses),Hybrid
