Year,"Fuel Type","Number of Vehicles","Weight Class","Vehicle Type","Engine Configuration"
2017,"Hydrogen (HYD)",2369,"Light Duty","Automobiles (Midsize)",Dedicated
2016,"Hydrogen (HYD)",1095,"Light Duty","Automobiles (Midsize)",Dedicated
2015,"Hydrogen (HYD)",2,"Light Duty","Automobiles (Midsize)",Dedicated
2014,"Hydrogen (HYD)",3,"Light Duty","Automobiles (Midsize)",Dedicated
2013,"Hydrogen (HYD)",9,"Light Duty","Automobiles (Compact)",Dedicated
2013,"Hydrogen (HYD)",1,"Heavy Duty","Buses (Transit Buses)",Dedicated
2012,"Hydrogen (HYD)",19,"Light Duty","Other Trucks (SUVs < 8500 lbs)",Dedicated
2012,"Hydrogen (HYD)",1,"Heavy Duty","Buses (Transit Buses)",Dedicated
2012,"Hydrogen (HYD)",2,"Heavy Duty","Buses (Transit Buses)",Dedicated
2012,"Hydrogen (HYD)",34,"Light Duty","Automobiles (Compact)",Dedicated
2011,"Hydrogen (HYD)",24,"Light Duty","Other Trucks (SUVs < 8500 lbs)",Dedicated
2011,"Hydrogen (HYD)",74,"Light Duty","Automobiles (Compact)",Dedicated
2011,"Hydrogen (HYD)",2,"Heavy Duty","Buses (Transit Buses)",Dedicated
2011,"Hydrogen (HYD)",1,"Heavy Duty","Buses (Transit Buses)",Dedicated
2011,"Hydrogen (HYD)",6,"Heavy Duty","Buses (Transit Buses)",Dedicated
2010,"Hydrogen (HYD)",38,"Light Duty","Other Trucks (SUVs < 8500 lbs)",Dedicated
2010,"Hydrogen (HYD)",19,"Light Duty","Automobiles (Compact)",Dedicated
2010,"Hydrogen (HYD)",1,"Heavy Duty","Buses (Transit Buses)",Dedicated
2010,"Hydrogen (HYD)",6,"Heavy Duty","Buses (Transit Buses)",Dedicated
2009,"Hydrogen (HYD)",11,"Light Duty","Other Trucks (SUVs < 8500 lbs)",Dedicated
2009,"Hydrogen (HYD)",7,"Light Duty","Automobiles (Compact)",Dedicated
2009,"Hydrogen (HYD)",2,"Heavy Duty","Buses (Transit Buses)",Dedicated
2009,"Hydrogen (HYD)",6,"Heavy Duty","Buses (Transit Buses)",Dedicated
2008,"Hydrogen (HYD)",23,"Light Duty","Automobiles (Compact)",Dedicated
2008,"Hydrogen (HYD)",3,"Heavy Duty","Buses (Transit Buses)",Dedicated
2008,"Hydrogen (HYD)",9,"Light Duty","Other Trucks (SUVs < 8500 lbs)",Dedicated
2008,"Hydrogen (HYD)",28,"Heavy Duty","Buses (Transit Buses)",Dedicated
2007,"Hydrogen (HYD)",23,"Heavy Duty","Buses (Transit Buses)",Dedicated
2007,"Hydrogen (HYD)",1,"Heavy Duty","Buses (Transit Buses)",Dedicated
2007,"Hydrogen (HYD)",28,"Light Duty","Automobiles (Compact)",Dedicated
2007,"Hydrogen (HYD)",11,"Light Duty","Other Trucks (SUVs < 8500 lbs)",Dedicated
2006,"Hydrogen (HYD)",11,"Light Duty","Other Trucks (SUVs < 8500 lbs)",Dedicated
2006,"Hydrogen (HYD)",1,"Heavy Duty","Buses (Transit Buses)",Dedicated
2006,"Hydrogen (HYD)",28,"Light Duty","Automobiles (Compact)",Dedicated
2005,"Hydrogen (HYD)",13,"Heavy Duty","Buses (Transit Buses)",Dedicated
2005,"Hydrogen (HYD)",14,"Light Duty","Other Trucks (SUVs < 8500 lbs)",Dedicated
2005,"Hydrogen (HYD)",1,"Light Duty","Automobiles (Subcompact)",Dedicated
2005,"Hydrogen (HYD)",43,"Light Duty","Automobiles (Compact)",Dedicated
2005,"Hydrogen (HYD)",3,"Light Duty","Automobiles (Compact)",Dedicated
2004,"Hydrogen (HYD)",14,"Light Duty","Other Trucks (SUVs < 8500 lbs)",Dedicated
2004,"Hydrogen (HYD)",1,"Heavy Duty","Buses (Transit Buses)",Dedicated
2004,"Hydrogen (HYD)",3,"Heavy Duty","Buses (Transit Buses)",Dedicated
2004,"Hydrogen (HYD)",13,"Light Duty","Automobiles (Compact)",Dedicated
2003,"Hydrogen (HYD)",4,"Light Duty","Automobiles (Compact)",Dedicated
2003,"Hydrogen (HYD)",2,"Light Duty","Other Trucks (SUVs < 8500 lbs)",Dedicated
2002,"Hydrogen (HYD)",2,"Light Duty","Other Trucks (SUVs < 8500 lbs)",Dedicated
